area_code,area_name,indicator,period,measure,unit,value
E92000001,England,Unemployment rate - aged 16-64,2009-12-01,Percentage,Persons,7.8
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2009-12-01,Percentage,Persons,9.9
E08000009,Trafford,Unemployment rate - aged 16-64,2009-12-01,Percentage,Persons,7.7
E92000001,England,Unemployment rate - aged 16-64,2010-12-01,Percentage,Persons,7.8
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2010-12-01,Percentage,Persons,8.9
E08000009,Trafford,Unemployment rate - aged 16-64,2010-12-01,Percentage,Persons,7.8
E92000001,England,Unemployment rate - aged 16-64,2011-12-01,Percentage,Persons,8.1
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2011-12-01,Percentage,Persons,9.7
E08000009,Trafford,Unemployment rate - aged 16-64,2011-12-01,Percentage,Persons,7.2
E92000001,England,Unemployment rate - aged 16-64,2012-12-01,Percentage,Persons,8
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2012-12-01,Percentage,Persons,9.6
E08000009,Trafford,Unemployment rate - aged 16-64,2012-12-01,Percentage,Persons,6.7
E92000001,England,Unemployment rate - aged 16-64,2013-12-01,Percentage,Persons,7.6
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2013-12-01,Percentage,Persons,9
E08000009,Trafford,Unemployment rate - aged 16-64,2013-12-01,Percentage,Persons,6.5
E92000001,England,Unemployment rate - aged 16-64,2014-12-01,Percentage,Persons,6.4
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2014-12-01,Percentage,Persons,7.8
E08000009,Trafford,Unemployment rate - aged 16-64,2014-12-01,Percentage,Persons,7
E92000001,England,Unemployment rate - aged 16-64,2015-12-01,Percentage,Persons,5.3
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2015-12-01,Percentage,Persons,6.7
E08000009,Trafford,Unemployment rate - aged 16-64,2015-12-01,Percentage,Persons,4.6
E92000001,England,Unemployment rate - aged 16-64,2016-12-01,Percentage,Persons,5
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2016-12-01,Percentage,Persons,6.3
E08000009,Trafford,Unemployment rate - aged 16-64,2016-12-01,Percentage,Persons,2.7
E92000001,England,Unemployment rate - aged 16-64,2017-12-01,Percentage,Persons,4.5
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2017-12-01,Percentage,Persons,5
E08000009,Trafford,Unemployment rate - aged 16-64,2017-12-01,Percentage,Persons,4.5
E92000001,England,Unemployment rate - aged 16-64,2018-12-01,Percentage,Persons,4.2
E11000001,Greater Manchester,Unemployment rate - aged 16-64,2018-12-01,Percentage,Persons,4.6
E08000009,Trafford,Unemployment rate - aged 16-64,2018-12-01,Percentage,Persons,4.2
