name,type,inspection_date,rating,url,postcode,lon,lat
Navigation Primary School,Community School,2011-03-01,Good,https://reports.ofsted.gov.uk/provider/21/106283,WA14 1NG,-2.348109,53.395316
Oldfield Brow Primary School,Community School,2006-10-18,Outstanding,https://reports.ofsted.gov.uk/provider/21/106284,WA14 4LE,-2.377778,53.391774
Stamford Park Junior School,Community School,2010-11-17,Good,https://reports.ofsted.gov.uk/provider/21/106285,WA15 9JB,-2.340502,53.382538
Stamford Park Infant School,Community School,2007-05-10,Outstanding,https://reports.ofsted.gov.uk/provider/21/106286,WA15 9JB,-2.340502,53.382538
Heyes Lane Primary School,Community School,2013-01-17,Good,https://reports.ofsted.gov.uk/provider/21/106288,WA15 6BZ,-2.325453,53.406058
Broadheath Primary School,Community School,2014-11-12,Good,https://reports.ofsted.gov.uk/provider/21/106289,WA14 5JQ,-2.360126,53.404465
Broomwood Primary School,Community School,2015-06-11,Good,https://reports.ofsted.gov.uk/provider/21/106290,WA15 7JU,-2.30838,53.391488
Well Green Primary School,Community School,2007-03-15,Outstanding,https://reports.ofsted.gov.uk/provider/21/106293,WA15 8QA,-2.316255,53.376762
Willows Primary School,Community School,2014-10-02,Good,https://reports.ofsted.gov.uk/provider/21/106294,WA15 6PP,-2.330461,53.396202
Cloverlea Primary School,Community School,2007-06-14,Outstanding,https://reports.ofsted.gov.uk/provider/21/106295,WA15 7NQ,-2.321251,53.389369
Springfield Primary School,Community School,2007-04-26,Outstanding,https://reports.ofsted.gov.uk/provider/21/106298,M33 7XS,-2.321436,53.423956
Woodheys Primary School,Community School,2017-06-21,Good,https://reports.ofsted.gov.uk/provider/21/106299,M33 4PG,-2.345597,53.41384
Worthington Primary School,Community School,2014-12-03,Good,https://reports.ofsted.gov.uk/provider/21/106300,M33 2JJ,-2.295154,53.420627
Brooklands Primary School,Community School,2007-02-02,Outstanding,https://reports.ofsted.gov.uk/provider/21/106301,M33 3SY,-2.326637,53.413426
Firs Primary School,Community School,2017-07-13,Outstanding,https://reports.ofsted.gov.uk/provider/21/106303,M33 5EL,-2.352276,53.422836
Wellfield Junior School,Community School,2014-01-23,Good,https://reports.ofsted.gov.uk/provider/21/106304,M33 5QX,-2.339427,53.430594
Moorlands Junior School,Community School,2014-03-20,Good,https://reports.ofsted.gov.uk/provider/21/106308,M33 2LP,-2.302078,53.425247
Templemoor Infant and Nursery School,Community School,2009-03-18,Outstanding,https://reports.ofsted.gov.uk/provider/21/106312,M33 2EG,-2.302677,53.422702
