name,type,inspection_date,rating,url,postcode,lon,lat
Lostock College,Community School,2015-06-04,Good,https://reports.ofsted.gov.uk/provider/23/106365,M32 9PL,-2.331554,53.453681
Stretford Grammar School,Foundation School,2015-04-23,Good,https://reports.ofsted.gov.uk/provider/23/106368,M32 8JB,-2.298265,53.443692
Stretford High School,Foundation School,2017-06-08,Satisfactory / Requires improvement,https://reports.ofsted.gov.uk/provider/23/106370,M32 0XA,-2.293706,53.457204
St Antony's Catholic College,Voluntary Aided School,2017-03-08,Satisfactory / Requires improvement,https://reports.ofsted.gov.uk/provider/23/106372,M41 9PD,-2.334576,53.449115
Sale High School,Foundation School,2015-06-12,Good,https://reports.ofsted.gov.uk/provider/23/106375,M33 3JR,-2.304738,53.414194
Blessed Thomas Holford Catholic College.,Voluntary Aided School,2013-06-20,Outstanding,https://reports.ofsted.gov.uk/provider/23/106376,WA15 8HT,-2.341569,53.386139
Wellington School,Academy Converter,2017-03-03,Good,https://reports.ofsted.gov.uk/provider/23/136377,WA15 7RH,-2.334237,53.392675
Wellacre Technology Academy,Academy Converter,2017-05-10,Good,https://reports.ofsted.gov.uk/provider/23/136378,M41 6AP,-2.395785,53.447696
Flixton Girls School,Academy Converter,2014-03-05,Good,https://reports.ofsted.gov.uk/provider/23/136965,M41 5DR,-2.371094,53.449681
Ashton-on-Mersey School,Academy Converter,2013-04-25,Outstanding,https://reports.ofsted.gov.uk/provider/23/138123,M33 5BP,-2.338992,53.419449
Broadoak School,Academy Converter,2015-05-20,Good,https://reports.ofsted.gov.uk/provider/23/138124,M31 4BU,-2.432058,53.412228
Altrincham College,Academy Converter,2017-03-08,Good,https://reports.ofsted.gov.uk/provider/23/138614,WA15 8QW,-2.324082,53.384031
