area_code,area_name,period,value,indicator,measure,unit,group
E22000107,Trafford,2015/16,7.924448710609119,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2015/16,6.310288870045067,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E22000107,Trafford,2016/17,63.539006331151413,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2016/17,15.804270844511214,Offence rate,"Rate per 1,000",Offences,Violence against the person
E22000107,Trafford,2016/17,1.5795686232428372,Offence rate,"Rate per 1,000",Offences,Sexual offences
E22000107,Trafford,2016/17,0.94001502307114493,Offence rate,"Rate per 1,000",Offences,Robbery
E22000107,Trafford,2016/17,28.908681188968774,Offence rate,"Rate per 1,000",Offences,Theft offences
E22000107,Trafford,2016/17,8.4472582895160429,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2016/17,7.8592123618413989,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E22000107,Trafford,2017/18,78.86512104521583,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2017/18,22.044319200717304,Offence rate,"Rate per 1,000",Offences,Violence against the person
E22000107,Trafford,2017/18,2.3227018487681996,Offence rate,"Rate per 1,000",Offences,Sexual offences
E22000107,Trafford,2017/18,1.878655907091926,Offence rate,"Rate per 1,000",Offences,Robbery
E22000107,Trafford,2017/18,30.037146150890226,Offence rate,"Rate per 1,000",Offences,Theft offences
E22000107,Trafford,2017/18,8.7827163656547551,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2017/18,13.79958157209342,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E22000107,Trafford,2018/19,82.057640779131432,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2018/19,23.355258967357841,Offence rate,"Rate per 1,000",Offences,Violence against the person
E22000107,Trafford,2018/19,2.2718297359157171,Offence rate,"Rate per 1,000",Offences,Sexual offences
E22000107,Trafford,2018/19,2.1232053606688948,Offence rate,"Rate per 1,000",Offences,Robbery
E22000107,Trafford,2018/19,30.977566212159171,Offence rate,"Rate per 1,000",Offences,Theft offences
E22000107,Trafford,2018/19,8.0214698526070833,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2018/19,15.30831065042273,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E22000107,Trafford,2018,79.891971311249165,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2018,22.943357127388076,Offence rate,"Rate per 1,000",Offences,Violence against the person
E22000107,Trafford,2018,2.220872807259664,Offence rate,"Rate per 1,000",Offences,Sexual offences
E22000107,Trafford,2018,2.0127986819141119,Offence rate,"Rate per 1,000",Offences,Robbery
E22000107,Trafford,2018,29.792817620905929,Offence rate,"Rate per 1,000",Offences,Theft offences
E22000107,Trafford,2018,7.9874985668363818,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2018,14.934626506945005,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E22000107,Trafford,2019,41.109277827135422,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2019,11.790836400558446,Offence rate,"Rate per 1,000",Offences,Violence against the person
E22000107,Trafford,2019,1.2607352878960951,Offence rate,"Rate per 1,000",Offences,Sexual offences
E22000107,Trafford,2019,1.040741210813555,Offence rate,"Rate per 1,000",Offences,Robbery
E22000107,Trafford,2019,15.581503574903753,Offence rate,"Rate per 1,000",Offences,Theft offences
E22000107,Trafford,2019,3.8625883149299827,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2019,7.5728730380335918,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2008/09,84.320140873608892,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2008/09,107.60407739649406,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2008/09,12.994721618709045,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2008/09,13.19277662481495,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2008/09,0.91422734039542519,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2008/09,1.0763409333957767,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2008/09,1.5189439430570306,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2008/09,2.7187517677658786,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2008/09,42.482144161472,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2008/09,55.781936482416235,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2008/09,16.835803784866936,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2008/09,23.111506534817146,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2008/09,9.5743000251084585,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2008/09,11.722765053284071,Offence rate,"Rate per 1,000",Offences,Other crimes against society
