area_code,area_name,period,indicator,measure,unit,value,group
E08000008,Tameside,2013,Reports of potholes on FixMyStreet.com,Count,Reports,33,A60
E08000009,Trafford,2013,Reports of potholes on FixMyStreet.com,Count,Reports,64,A60
E08000010,Wigan,2013,Reports of potholes on FixMyStreet.com,Count,Reports,40,A60
E08000001,Bolton,2014,Reports of potholes on FixMyStreet.com,Count,Reports,60,A60
E08000002,Bury,2014,Reports of potholes on FixMyStreet.com,Count,Reports,114,A60
E08000003,Manchester,2014,Reports of potholes on FixMyStreet.com,Count,Reports,120,A60
E08000004,Oldham,2014,Reports of potholes on FixMyStreet.com,Count,Reports,65,A60
E08000005,Rochdale,2014,Reports of potholes on FixMyStreet.com,Count,Reports,16,A60
E08000006,Salford,2014,Reports of potholes on FixMyStreet.com,Count,Reports,19,A60
E08000007,Stockport,2014,Reports of potholes on FixMyStreet.com,Count,Reports,83,A60
E08000008,Tameside,2014,Reports of potholes on FixMyStreet.com,Count,Reports,49,A60
E08000009,Trafford,2014,Reports of potholes on FixMyStreet.com,Count,Reports,67,A60
E08000010,Wigan,2014,Reports of potholes on FixMyStreet.com,Count,Reports,25,A60
E08000001,Bolton,2015,Reports of potholes on FixMyStreet.com,Count,Reports,73,A60
E08000002,Bury,2015,Reports of potholes on FixMyStreet.com,Count,Reports,138,A60
E08000003,Manchester,2015,Reports of potholes on FixMyStreet.com,Count,Reports,164,A60
E08000004,Oldham,2015,Reports of potholes on FixMyStreet.com,Count,Reports,31,A60
E08000005,Rochdale,2015,Reports of potholes on FixMyStreet.com,Count,Reports,17,A60
E08000007,Stockport,2015,Reports of potholes on FixMyStreet.com,Count,Reports,39,A60
E08000008,Tameside,2015,Reports of potholes on FixMyStreet.com,Count,Reports,43,A60
E08000009,Trafford,2015,Reports of potholes on FixMyStreet.com,Count,Reports,66,A60
E08000010,Wigan,2015,Reports of potholes on FixMyStreet.com,Count,Reports,28,A60
E08000001,Bolton,2016,Reports of potholes on FixMyStreet.com,Count,Reports,71,A60
E08000002,Bury,2016,Reports of potholes on FixMyStreet.com,Count,Reports,159,A60
E08000003,Manchester,2016,Reports of potholes on FixMyStreet.com,Count,Reports,251,A60
E08000004,Oldham,2016,Reports of potholes on FixMyStreet.com,Count,Reports,46,A60
E08000005,Rochdale,2016,Reports of potholes on FixMyStreet.com,Count,Reports,33,A60
E08000007,Stockport,2016,Reports of potholes on FixMyStreet.com,Count,Reports,50,A60
E08000008,Tameside,2016,Reports of potholes on FixMyStreet.com,Count,Reports,48,A60
E08000009,Trafford,2016,Reports of potholes on FixMyStreet.com,Count,Reports,151,A60
E08000010,Wigan,2016,Reports of potholes on FixMyStreet.com,Count,Reports,51,A60
E08000001,Bolton,2017,Reports of potholes on FixMyStreet.com,Count,Reports,82,A60
E08000002,Bury,2017,Reports of potholes on FixMyStreet.com,Count,Reports,121,A60
E08000003,Manchester,2017,Reports of potholes on FixMyStreet.com,Count,Reports,394,A60
E08000004,Oldham,2017,Reports of potholes on FixMyStreet.com,Count,Reports,46,A60
E08000005,Rochdale,2017,Reports of potholes on FixMyStreet.com,Count,Reports,27,A60
E08000007,Stockport,2017,Reports of potholes on FixMyStreet.com,Count,Reports,68,A60
E08000008,Tameside,2017,Reports of potholes on FixMyStreet.com,Count,Reports,55,A60
E08000009,Trafford,2017,Reports of potholes on FixMyStreet.com,Count,Reports,186,A60
E08000010,Wigan,2017,Reports of potholes on FixMyStreet.com,Count,Reports,50,A60
E08000001,Bolton,2018,Reports of potholes on FixMyStreet.com,Count,Reports,163,A60
E08000002,Bury,2018,Reports of potholes on FixMyStreet.com,Count,Reports,253,A60
E08000003,Manchester,2018,Reports of potholes on FixMyStreet.com,Count,Reports,589,A60
E08000004,Oldham,2018,Reports of potholes on FixMyStreet.com,Count,Reports,119,A60
E08000005,Rochdale,2018,Reports of potholes on FixMyStreet.com,Count,Reports,60,A60
E08000007,Stockport,2018,Reports of potholes on FixMyStreet.com,Count,Reports,54,A60
E08000008,Tameside,2018,Reports of potholes on FixMyStreet.com,Count,Reports,135,A60
E08000009,Trafford,2018,Reports of potholes on FixMyStreet.com,Count,Reports,353,A60
E08000010,Wigan,2018,Reports of potholes on FixMyStreet.com,Count,Reports,91,A60
