area_code,area_name,indicator,period,measure,unit,value
E08000001,Bolton,Apprenticeship starts,2013-14,Count,Starts,2710
E08000002,Bury,Apprenticeship starts,2013-14,Count,Starts,1730
E08000003,Manchester,Apprenticeship starts,2013-14,Count,Starts,4300
E08000004,Oldham,Apprenticeship starts,2013-14,Count,Starts,2370
E08000005,Rochdale,Apprenticeship starts,2013-14,Count,Starts,2180
E08000006,Salford,Apprenticeship starts,2013-14,Count,Starts,2640
E08000007,Stockport,Apprenticeship starts,2013-14,Count,Starts,2810
E08000008,Tameside,Apprenticeship starts,2013-14,Count,Starts,2720
E08000009,Trafford,Apprenticeship starts,2013-14,Count,Starts,1940
E08000010,Wigan,Apprenticeship starts,2013-14,Count,Starts,3570
E08000001,Bolton,Apprenticeship starts,2014-15,Count,Starts,3150
E08000002,Bury,Apprenticeship starts,2014-15,Count,Starts,1980
E08000003,Manchester,Apprenticeship starts,2014-15,Count,Starts,4830
E08000004,Oldham,Apprenticeship starts,2014-15,Count,Starts,2760
E08000005,Rochdale,Apprenticeship starts,2014-15,Count,Starts,2630
E08000006,Salford,Apprenticeship starts,2014-15,Count,Starts,2870
E08000007,Stockport,Apprenticeship starts,2014-15,Count,Starts,2970
E08000008,Tameside,Apprenticeship starts,2014-15,Count,Starts,2730
E08000009,Trafford,Apprenticeship starts,2014-15,Count,Starts,2100
E08000010,Wigan,Apprenticeship starts,2014-15,Count,Starts,4240
E08000001,Bolton,Apprenticeship starts,2015-16,Count,Starts,3220
E08000002,Bury,Apprenticeship starts,2015-16,Count,Starts,2050
E08000003,Manchester,Apprenticeship starts,2015-16,Count,Starts,4730
E08000004,Oldham,Apprenticeship starts,2015-16,Count,Starts,2760
E08000005,Rochdale,Apprenticeship starts,2015-16,Count,Starts,2660
E08000006,Salford,Apprenticeship starts,2015-16,Count,Starts,2800
E08000007,Stockport,Apprenticeship starts,2015-16,Count,Starts,2980
E08000008,Tameside,Apprenticeship starts,2015-16,Count,Starts,2720
E08000009,Trafford,Apprenticeship starts,2015-16,Count,Starts,1980
E08000010,Wigan,Apprenticeship starts,2015-16,Count,Starts,4480
E08000001,Bolton,Apprenticeship starts,2016-17,Count,Starts,2930
E08000002,Bury,Apprenticeship starts,2016-17,Count,Starts,1780
E08000003,Manchester,Apprenticeship starts,2016-17,Count,Starts,4350
E08000004,Oldham,Apprenticeship starts,2016-17,Count,Starts,2770
E08000005,Rochdale,Apprenticeship starts,2016-17,Count,Starts,2420
E08000006,Salford,Apprenticeship starts,2016-17,Count,Starts,2600
E08000007,Stockport,Apprenticeship starts,2016-17,Count,Starts,2820
E08000008,Tameside,Apprenticeship starts,2016-17,Count,Starts,2650
E08000009,Trafford,Apprenticeship starts,2016-17,Count,Starts,1880
E08000010,Wigan,Apprenticeship starts,2016-17,Count,Starts,4230
E08000001,Bolton,Apprenticeship starts,2017-18,Count,Starts,2100
E08000002,Bury,Apprenticeship starts,2017-18,Count,Starts,1190
E08000003,Manchester,Apprenticeship starts,2017-18,Count,Starts,6220
E08000004,Oldham,Apprenticeship starts,2017-18,Count,Starts,1510
E08000005,Rochdale,Apprenticeship starts,2017-18,Count,Starts,1450
E08000006,Salford,Apprenticeship starts,2017-18,Count,Starts,2020
E08000007,Stockport,Apprenticeship starts,2017-18,Count,Starts,2510
E08000008,Tameside,Apprenticeship starts,2017-18,Count,Starts,1150
E08000009,Trafford,Apprenticeship starts,2017-18,Count,Starts,2030
E08000010,Wigan,Apprenticeship starts,2017-18,Count,Starts,2300
E08000001,Bolton,Apprenticeship starts,2018-19,Count,Starts,2240
E08000002,Bury,Apprenticeship starts,2018-19,Count,Starts,970
E08000003,Manchester,Apprenticeship starts,2018-19,Count,Starts,6570
E08000004,Oldham,Apprenticeship starts,2018-19,Count,Starts,1690
E08000005,Rochdale,Apprenticeship starts,2018-19,Count,Starts,1370
E08000006,Salford,Apprenticeship starts,2018-19,Count,Starts,2760
E08000007,Stockport,Apprenticeship starts,2018-19,Count,Starts,1820
E08000008,Tameside,Apprenticeship starts,2018-19,Count,Starts,1230
E08000009,Trafford,Apprenticeship starts,2018-19,Count,Starts,1950
E08000010,Wigan,Apprenticeship starts,2018-19,Count,Starts,1790
